TRINITY_DN48067_c0_g1_i1	TRINITY_DN29994_c0_g2_i1	100.000	31	0	0	1	31	6	36	2.96e-07	57.2
TRINITY_DN48097_c0_g1_i1	TRINITY_DN10056_c0_g2_i7	80.952	84	16	0	1	84	1815	1898	2.36e-14	80.6
TRINITY_DN48119_c0_g1_i1	TRINITY_DN22059_c0_g1_i6	80.000	200	40	0	8	207	6219	6418	6.70e-45	181
TRINITY_DN48090_c0_g1_i1	TRINITY_DN7272_c2_g2_i5	78.302	106	23	0	240	345	503	608	1.62e-16	88.7
TRINITY_DN48128_c0_g1_i1	TRINITY_DN35193_c0_g1_i1	84.848	66	9	1	22	86	51	116	1.54e-11	71.6
TRINITY_DN48116_c0_g1_i1	TRINITY_DN43352_c0_g1_i1	82.051	156	27	1	86	240	70	225	3.10e-36	152
TRINITY_DN48105_c0_g1_i1	TRINITY_DN690_c0_g2_i9	72.727	154	33	3	168	320	560	415	2.42e-15	84.2
TRINITY_DN48133_c0_g1_i1	TRINITY_DN928_c0_g3_i1	94.231	52	2	1	238	288	266	317	2.39e-13	77.9
TRINITY_DN48066_c0_g1_i1	TRINITY_DN9157_c0_g1_i5	91.176	68	6	0	4	71	982	915	2.25e-19	96.9
TRINITY_DN48155_c0_g1_i1	TRINITY_DN51291_c0_g1_i1	95.000	40	1	1	85	123	218	257	1.58e-08	60.8
TRINITY_DN48144_c0_g1_i1	TRINITY_DN352_c0_g4_i2	80.435	92	18	0	197	288	357	448	4.68e-16	86.0
TRINITY_DN48096_c0_g1_i1	TRINITY_DN2847_c0_g1_i5	87.879	66	4	2	1	64	12	75	6.98e-14	78.8
TRINITY_DN48139_c0_g1_i1	TRINITY_DN16550_c0_g1_i3	85.106	47	7	0	3	49	43	89	1.84e-06	54.5
TRINITY_DN72948_c0_g1_i1	TRINITY_DN8185_c0_g1_i8	76.573	461	103	4	183	640	2572	3030	2.06e-89	332
TRINITY_DN72943_c0_g1_i1	TRINITY_DN55918_c0_g1_i1	86.667	45	6	0	395	439	378	422	1.24e-06	55.4
TRINITY_DN72899_c0_g1_i1	TRINITY_DN665_c9_g1_i2	69.362	235	58	7	53	280	289	62	1.93e-14	81.5
TRINITY_DN72945_c0_g1_i1	TRINITY_DN21131_c0_g2_i1	82.759	232	40	0	4	235	1974	1743	2.69e-62	239
TRINITY_DN72978_c0_g1_i1	TRINITY_DN30210_c0_g1_i3	100.000	38	0	0	9	46	8	45	3.11e-11	69.8
TRINITY_DN72961_c0_g1_i1	TRINITY_DN1231_c0_g2_i6	95.349	43	2	0	1	43	1743	1701	5.40e-11	69.8
TRINITY_DN72917_c0_g1_i1	TRINITY_DN215_c3_g1_i1	75.610	82	20	0	423	504	28	109	1.17e-07	59.0
TRINITY_DN72975_c0_g1_i1	TRINITY_DN53980_c0_g1_i1	79.412	68	11	2	1	67	33	98	4.98e-06	54.5
TRINITY_DN72913_c0_g1_i1	TRINITY_DN15147_c0_g2_i1	79.630	108	19	2	97	203	150	45	2.65e-17	90.6
TRINITY_DN72967_c0_g1_i1	TRINITY_DN2686_c0_g2_i6	75.472	106	21	3	2	106	4640	4741	1.21e-09	66.2
TRINITY_DN72983_c0_g1_i1	TRINITY_DN19629_c0_g1_i1	83.158	285	46	2	29	312	12	295	6.54e-78	291
